,categorical_crossentropy,loss,mae,mse,val_categorical_crossentropy,val_loss,val_mae,val_mse
0,1.3354624509811401,1.3354628116426597,0.19646801054477692,0.09703348577022552,1.2354049682617188,1.2354049189294947,0.1936669796705246,0.09363590180873871
1,1.2339445352554321,1.233944533276964,0.18816472589969635,0.09227782487869263,1.225529670715332,1.2255296900299435,0.19191356003284454,0.0932188332080841
2,1.202518105506897,1.202517948231884,0.18446065485477448,0.09027420729398727,1.2069172859191895,1.2069173770792343,0.1904771625995636,0.09174108505249023
3,1.1830365657806396,1.183036411750314,0.1817086637020111,0.08905868232250214,1.198283314704895,1.1982833170423322,0.18971113860607147,0.09095428884029388
4,1.1733369827270508,1.1733369348217466,0.1803288608789444,0.08852582424879074,1.1897753477096558,1.1897753833863265,0.1895032674074173,0.09028972685337067
5,1.1637165546417236,1.1637162479264305,0.17894186079502106,0.08788751065731049,1.1781004667282104,1.1781004240392285,0.18791617453098297,0.0894390195608139
6,1.1577595472335815,1.1577594412800274,0.17813627421855927,0.08756379038095474,1.144748330116272,1.1447479419786986,0.18458764255046844,0.08715604245662689
7,1.1539173126220703,1.1539171869365956,0.17714449763298035,0.08735213428735733,1.1379002332687378,1.1379004500352685,0.18329867720603943,0.08673859387636185
8,1.1488219499588013,1.1488219317305164,0.17639218270778656,0.08705230802297592,1.1390701532363892,1.1390703547480674,0.18299295008182526,0.08683257550001144
9,1.1456716060638428,1.1456718230094496,0.17583374679088593,0.08688535541296005,1.1348985433578491,1.1348983384015268,0.18311525881290436,0.08636114746332169
10,1.1433501243591309,1.1433499264068165,0.1755940467119217,0.08683884143829346,1.1327494382858276,1.1327494770380735,0.18274007737636566,0.08603757619857788
11,1.140001893043518,1.140002095717776,0.17510591447353363,0.08668110519647598,1.1450364589691162,1.1450366700765888,0.18381482362747192,0.08704516291618347
12,1.1368461847305298,1.1368461021888465,0.17463529109954834,0.08645035326480865,1.1508371829986572,1.1508370963904633,0.18461209535598755,0.08731534332036972
13,1.1360706090927124,1.1360702448171913,0.1749640256166458,0.08646668493747711,1.1296647787094116,1.1296648015916901,0.18199259042739868,0.08585251867771149
14,1.1336525678634644,1.1336529478084516,0.17431820929050446,0.08637728542089462,1.126906394958496,1.1269063247123616,0.1813417375087738,0.08559085428714752
15,1.1308776140213013,1.130877634294003,0.17403362691402435,0.08623754233121872,1.1369421482086182,1.1369418693154711,0.18238314986228943,0.08622537553310394
16,1.1306498050689697,1.1306497537607005,0.1736106276512146,0.08623865246772766,1.1367870569229126,1.136787168750822,0.18251842260360718,0.08620628714561462
17,1.128293514251709,1.128293578459589,0.17410746216773987,0.08612348884344101,1.128775715827942,1.1287757918561576,0.18159113824367523,0.08567993342876434
18,1.1270241737365723,1.1270243160147981,0.17362891137599945,0.08609365671873093,1.1390981674194336,1.139097904150208,0.18251053988933563,0.08634167909622192
19,1.1251921653747559,1.1251918853555904,0.17313072085380554,0.08598219603300095,1.1405318975448608,1.1405318264375652,0.18292337656021118,0.08626165241003036
20,1.1238032579421997,1.1238029501981033,0.1733003854751587,0.08596382290124893,1.1370712518692017,1.1370710034857594,0.182501882314682,0.08605358749628067
21,1.122504711151123,1.1225045068940906,0.17294177412986755,0.08592674136161804,1.1555049419403076,1.1555049383726406,0.1844942420721054,0.08725176006555557
22,1.1213805675506592,1.1213803465425982,0.17304900288581848,0.08591102808713913,1.1491223573684692,1.1491221936248528,0.18363875150680542,0.08693673461675644
23,1.120496392250061,1.1204965543261565,0.17290224134922028,0.08583718538284302,1.1435922384262085,1.1435923116248952,0.18294309079647064,0.08648566901683807
24,1.1193701028823853,1.1193702086644723,0.17312225699424744,0.08578724414110184,1.1313872337341309,1.131387517302152,0.18147628009319305,0.08573053032159805
25,1.1192351579666138,1.1192351022001967,0.1726432740688324,0.08579599857330322,1.1509087085723877,1.1509086197497798,0.1836555451154709,0.08706086128950119
26,1.117871880531311,1.1178719485642292,0.1726742684841156,0.08573417365550995,1.146351933479309,1.146351984779901,0.18307320773601532,0.08681705594062805
27,1.1168004274368286,1.116800227453287,0.17269854247570038,0.08567386120557785,1.1590306758880615,1.1590306869601317,0.18421834707260132,0.08767418563365936
28,1.1159491539001465,1.115949611387888,0.17229409515857697,0.08563661575317383,1.1674580574035645,1.1674577820780845,0.1851678490638733,0.08825644105672836
29,1.1157931089401245,1.1157935185885108,0.17222101986408234,0.08564317971467972,1.1646479368209839,1.1646477171019012,0.1849421113729477,0.08805149793624878
30,1.1142157316207886,1.114215818778897,0.17229461669921875,0.0855952799320221,1.1741881370544434,1.1741881480034906,0.1858440637588501,0.08884356170892715
31,1.1133383512496948,1.113338313817081,0.17215943336486816,0.0854921042919159,1.191329002380371,1.1913288755436553,0.1873144805431366,0.09013129025697708
32,1.1125288009643555,1.112528667800272,0.1722428798675537,0.08550514280796051,1.1800349950790405,1.1800352256241475,0.18624435365200043,0.08927281200885773
33,1.111872673034668,1.1118726562572596,0.17189472913742065,0.08544079214334488,1.1829991340637207,1.1829990650478162,0.1864868551492691,0.0895693302154541
34,1.1114805936813354,1.1114804535266651,0.17201144993305206,0.08546014130115509,1.1972095966339111,1.1972093455439627,0.18796031177043915,0.09063847362995148
